LAD_code,LAD_name,UTLA_code,UTLA_name,adm2,aggregated_adm2
S12000033,ABERDEEN CITY,S12000033,ABERDEEN CITY,ABERDEEN,ABERDEEN
S12000034,ABERDEENSHIRE,S12000034,ABERDEENSHIRE,ABERDEENSHIRE,ABERDEENSHIRE
W06000001,ISLE OF ANGLESEY,W06000001,ISLE OF ANGLESEY,ANGLESEY,ANGLESEY
S12000041,ANGUS,S12000041,ANGUS,ANGUS,ANGUS
N09000001,ANTRIM AND NEWTOWNABBEY,N09000001,ANTRIM AND NEWTOWNABBEY,ANTRIM_AND_NEWTOWNABBEY,ANTRIM_AND_NEWTOWNABBEY
S12000035,ARGYLL AND BUTE,S12000035,ARGYLL AND BUTE,ARGYLL_AND_BUTE,ARGYLL_AND_BUTE
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",ARMAGH_BANBRIDGE_AND_CRAIGAVON,ARMAGH_BANBRIDGE_AND_CRAIGAVON
E06000032,LUTON,E06000032,LUTON,LUTON,BEDFORDSHIRE
E06000055,BEDFORD,E06000055,BEDFORD,BEDFORDSHIRE,BEDFORDSHIRE
E06000056,CENTRAL BEDFORDSHIRE,E06000056,CENTRAL BEDFORDSHIRE,CENTRAL_BEDFORDSHIRE,BEDFORDSHIRE
N09000003,BELFAST,N09000003,BELFAST,BELFAST,BELFAST
E06000036,BRACKNELL FOREST,E06000036,BRACKNELL FOREST,BRACKNELL_FOREST,BERKSHIRE
E06000037,WEST BERKSHIRE,E06000037,WEST BERKSHIRE,WEST_BERKSHIRE,BERKSHIRE
E06000038,READING,E06000038,READING,READING,BERKSHIRE
E06000039,SLOUGH,E06000039,SLOUGH,SLOUGH,BERKSHIRE
E06000040,WINDSOR AND MAIDENHEAD,E06000040,WINDSOR AND MAIDENHEAD,WINDSOR_AND_MAIDENHEAD,BERKSHIRE
E06000041,WOKINGHAM,E06000041,WOKINGHAM,WOKINGHAM,BERKSHIRE
W06000019,BLAENAU GWENT,W06000019,BLAENAU GWENT,BLAENAU_GWENT,BLAENAU_GWENT
W06000013,BRIDGEND,W06000013,BRIDGEND,BRIDGEND,BRIDGEND
E06000023,"BRISTOL, CITY OF",E06000023,"BRISTOL, CITY OF",BRISTOL,BRISTOL
E06000042,MILTON KEYNES,E06000042,MILTON KEYNES,MILTON_KEYNES,BUCKINGHAMSHIRE
E07000004,AYLESBURY VALE,E10000002,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE
E07000005,CHILTERN,E10000002,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE
E07000006,SOUTH BUCKS,E10000002,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE
E07000007,WYCOMBE,E10000002,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE
W06000018,CAERPHILLY,W06000018,CAERPHILLY,CAERPHILLY,CAERPHILLY
E06000031,PETERBOROUGH,E06000031,PETERBOROUGH,PETERBOROUGH,CAMBRIDGESHIRE
E07000008,CAMBRIDGE,E10000003,CAMBRIDGESHIRE,CAMBRIDGESHIRE,CAMBRIDGESHIRE
E07000009,EAST CAMBRIDGESHIRE,E10000003,CAMBRIDGESHIRE,CAMBRIDGESHIRE,CAMBRIDGESHIRE
E07000010,FENLAND,E10000003,CAMBRIDGESHIRE,CAMBRIDGESHIRE,CAMBRIDGESHIRE
E07000011,HUNTINGDONSHIRE,E10000003,CAMBRIDGESHIRE,CAMBRIDGESHIRE,CAMBRIDGESHIRE
E07000012,SOUTH CAMBRIDGESHIRE,E10000003,CAMBRIDGESHIRE,CAMBRIDGESHIRE,CAMBRIDGESHIRE
W06000015,CARDIFF,W06000015,CARDIFF,CARDIFF,CARDIFF
W06000010,CARMARTHENSHIRE,W06000010,CARMARTHENSHIRE,CARMARTHENSHIRE,CARMARTHENSHIRE
N09000004,CAUSEWAY COAST AND GLENS,N09000004,CAUSEWAY COAST AND GLENS,CAUSEWAY_COAST_AND_GLENS,CAUSEWAY_COAST_AND_GLENS
W06000008,CEREDIGION,W06000008,CEREDIGION,CEREDIGION,CEREDIGION
E06000006,HALTON,E06000006,HALTON,HALTON,CHESHIRE
E06000007,WARRINGTON,E06000007,WARRINGTON,WARRINGTON,CHESHIRE
